model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
solos,Stadium,present_elec_kwh,prophet,2,12,31.83452234454033,19.79651134758195,0.8477010451859717,./models/solos/stadium_present_elec_kwh_prophet_2_12.pkl
solos,Stadium,present_elec_kwh,prophet,2,24,32.30365891596779,20.86145151114108,0.8432512136560057,./models/solos/stadium_present_elec_kwh_prophet_2_24.pkl
solos,Stadium,present_elec_kwh,prophet,3,1,50.42582461927034,37.56947051970057,0.617618901820981,./models/solos/stadium_present_elec_kwh_prophet_3_1.pkl
solos,Stadium,present_elec_kwh,prophet,3,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/solos/stadium_present_elec_kwh_prophet_3_8.pkl
solos,Stadium,present_elec_kwh,prophet,3,12,31.83452234454033,19.79651134758195,0.8477010451859717,./models/solos/stadium_present_elec_kwh_prophet_3_12.pkl
solos,Stadium,present_elec_kwh,prophet,3,24,31.44138676930725,19.89519821729166,0.851507629320954,./models/solos/stadium_present_elec_kwh_prophet_3_24.pkl
solos,Stadium,present_elec_kwh,prophet,4,1,50.040837641202415,36.800535617982554,0.6234353573555016,./models/solos/stadium_present_elec_kwh_prophet_4_1.pkl
solos,Stadium,present_elec_kwh,prophet,4,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/solos/stadium_present_elec_kwh_prophet_4_8.pkl
solos,Stadium,present_elec_kwh,prophet,4,12,31.83452234454033,19.79651134758195,0.8477010451859717,./models/solos/stadium_present_elec_kwh_prophet_4_12.pkl
solos,Stadium,present_elec_kwh,prophet,4,24,31.44138676930725,19.89519821729166,0.851507629320954,./models/solos/stadium_present_elec_kwh_prophet_4_24.pkl
solos,Stadium,present_elec_kwh,prophet,5,1,50.19265151035475,36.952871742243914,0.62114704821406,./models/solos/stadium_present_elec_kwh_prophet_5_1.pkl
solos,Stadium,present_elec_kwh,prophet,5,8,32.71432541380027,20.518278277825484,0.8391160835858635,./models/solos/stadium_present_elec_kwh_prophet_5_8.pkl
